	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WLC	OLC	WL_5th_range	OL_5th_range	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	Renaissance	pre-Baroque	F	major	5	-2	5	-2	0.034482758620689655	0.034482758620689655	7	7	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	major	7	-3	6	-3	0.34065934065934067	0.04945054945054945	10	9	1	2
3	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	major	7	-6	11	-4	0.6560636182902585	0.15109343936381708	13	15	1	3
5	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	major	9	-3	7	-3	0.5399239543726235	0.04182509505703422	12	10	1	4
7	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	major	7	-6	7	-3	0.3419354838709677	0.012903225806451613	13	10	1	5
9	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	major	9	-5	7	-4	0.3937908496732026	0.0457516339869281	14	11	1	6
11	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	major	6	-2	5	-2	0.03111111111111111	0.0044444444444444444	8	7	2	7
12	monteverdi_madrigals	3-09	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	6	-1	6	-1	0.015789473684210527	0.005263157894736842	7	7	2	8
13	monteverdi_madrigals	3-11	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	6	-1	6	-1	0.015789473684210527	0.005263157894736842	7	7	2	9
16	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	major	8	-2	6	-1	0.06338028169014084	0.007042253521126761	10	7	2	12
19	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	8	-3	6	-2	0.19642857142857142	0.08928571428571429	11	8	2	13
21	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	7	-3	6	-3	0.08928571428571429	0.05357142857142857	10	9	2	14
23	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	5	-3	5	-2	0.13333333333333333	0.06666666666666667	8	7	2	15
25	monteverdi_madrigals	5-04d	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	5	-1	5	-1	0.0	0.0	6	6	2	16
